Smartphone,Brand,Model,RAM,Storage,Color,Free,Final Price
MotorolaEdge30Ultra12256GBGrisLibre,Motorola,Edge30,12,256,Gray,Yes,8990
XiaomiRedmi10A364GBGrisLibreCableUSBCaJack,Xiaomi,Redmi10A,3,64,Gray,Yes,1590
RealmeC30332GBVerdeLibre,Realme,C30,3,32,Green,Yes,14259
XiaomiRedmiNote12464GBGrisLibreCableUSBCaJack,Xiaomi,RedmiNote12,4,64,Gray,Yes,2290
XiaomiRedmi12C364GBGrisLibreCableUSBCaJack,Xiaomi,Redmi12C,3,64,Gray,Yes,1690
XiaomiRedmiNote11ProPlus5G8256GBGrisLibre,Xiaomi,11Pro,8,256,Gray,Yes,44999
XiaomiRedmiNote12Pro5G8128GBAzulLibreCableUSBCaJack,Xiaomi,RedmiNote12,8,128,Blue,Yes,3990
RealmeGTNeo35G12256GBBlancoLibre,Realme,GTNeo3,12,256,White,Yes,70259
Realme95G4128GBBlancoLibre,Realme,9,4,128,White,Yes,28258
SamsungGalaxyA345G8256GBVerdeLibreProtectorPantalla,Samsung,GalaxyA34,8,256,Green,Yes,4690
XiaomiRedmiNote12ProPlus5G8256GBAzulLibre,Xiaomi,RedmiNote12,8,256,Blue,Yes,37995
XiaomiRedmiNote12ProPlus5G8256GBNegroLibreCableUSBCaJack,Xiaomi,RedmiNote12,8,256,Black,Yes,4990
XiaomiRedmiNote11ProPlus5G8256GBVerdeLibre,Xiaomi,11Pro,8,256,Green,Yes,44999
RealmeC334128GBDoradoLibre,Realme,C33,4,128,Gold,Yes,19259
AppleiPhone14Pro128GBNegroEspacialLibre,Apple,iPhone14,,128,Black,Yes,13190
POCOC40464GBAmarilloLibre,POCO,C40,4,64,Yellow,Yes,16999
AppleiPhone14ProMax256GBOroLibre,Apple,iPhone14,,256,Gold,Yes,15990
XiaomiRedmiNote12S8256GBNegronixLibre,Xiaomi,Note12S,8,256,Black,Yes,2250
RealmeGT212256GBBlancoLibre,Realme,GT2,12,256,White,Yes,6016
AppleiPhone14ProMax256GBPlataLibre,Apple,iPhone14,,256,Silver,Yes,15990
AppleiPhone14128GBBlancoEstrellaLibre,Apple,iPhone14,,128,White,Yes,10089999999999999
NothingPhone212512GBGrisOscuroLibre,Nothing,Phone2,12,512,Gray,Yes,7990
POCOF55G12256GBNegroLibre,POCO,F5,12,256,Black,Yes,47999
XiaomiRedmiNote11ProPlus5G8256GBAzulLibre,Xiaomi,11Pro,8,256,Blue,Yes,44999
SamsungGalaxyM535G8128GBAzulLibre,Samsung,GalaxyM53,8,128,Blue,Yes,4130
SamsungGalaxyM535G8128GBVerdeLibre,Samsung,GalaxyM53,8,128,Green,Yes,41899
OPPOReno8T8128GBNaranjaLibreCableUSB31TypeC,OPPO,Reno8,8,128,Orange,Yes,3790
SamsungGalaxyA345G8256GBNegroLibreProtectorPantalla,Samsung,GalaxyA34,8,256,Black,Yes,4690
POCOM45G6128GBAmarilloLibre,POCO,M4,6,128,Yellow,Yes,21999
XiaomiRedmi12C4128GBAzulLibre,Xiaomi,Redmi12C,4,128,Blue,Yes,1230
MotorolaMotoG326128GBGrisLibre,Motorola,MotoG32,6,128,Gray,Yes,2090
XiaomiRedmiNote12ProPlus5G8256GBBlancoLibre,Xiaomi,RedmiNote12,8,256,White,Yes,38995
AppleiPhone12128GBNegroLibre,Apple,iPhone12,,128,Black,Yes,8590
SamsungGalaxyM335G6128GBMarrnLibre,Samsung,GalaxyM33,6,128,Brown,Yes,2990
Alcatel12021116GBAzulLibre,Alcatel,12021,1,16,Blue,Yes,7098
Alcatel12021116GBNegroLibre,Alcatel,12021,1,16,Black,Yes,7098
OPPOReno8T8128GBNegroLibreCableUSB31TypeC,OPPO,Reno8,8,128,Black,Yes,3790
POCOX5Pro5G6128GBNegroLibre,POCO,X5Pro,6,128,Black,Yes,34999
RealmeGTNeo3T8128GBBlancoLibre,Realme,GTNeo3T,8,128,White,Yes,43259
XiaomiRedmi12C364GBVerdeLibreCableUSBCaJack,Xiaomi,Redmi12C,3,64,Green,Yes,1690
AppleiPhone1164GBNegroLibre,Apple,iPhone11,,64,Black,Yes,5890
AppleiPhone1164GBBlancoLibre,Apple,iPhone11,,64,White,Yes,5890
AppleiPhone14Plus256GBPrpuraLibre,Apple,iPhone14,,256,Purple,Yes,12890
SamsungGalaxyZFlip48256GBRosaCargadordePared25W,Samsung,GalaxyZFlip4,8,256,Pink,No,11590
SamsungGalaxyM335G6128GBVerdeLibre,Samsung,GalaxyM33,6,128,Green,Yes,2990
OPPOA17464GBNegroLibreUSB32GB,OPPO,A17,4,64,Black,Yes,1790
SamsungGalaxyS225G256GBNegroLibreCargador25W,Samsung,GalaxyS22,,256,Black,Yes,6990
AppleiPhone14128GBPrpuraLibre,Apple,iPhone14,,128,Purple,Yes,10089999999999999
XiaomiRedmi12C4128GBGrisLibreCableUSBCaJack,Xiaomi,Redmi12C,4,128,Gray,Yes,1990
AppleiPhone14128GBAzulLibre,Apple,iPhone14,,128,Blue,Yes,10089999999999999
SamsungGalaxyM13464GBAzulLibre,Samsung,GalaxyM13,4,64,Blue,Yes,1790
Alcatel1B2022232GBNegroLibre,Alcatel,1B2022,2,32,Black,Yes,10099
AppleiPhone14Pro128GBOroLibre,Apple,iPhone14,,128,Gold,Yes,13190
SamsungGalaxyS23Ultra512GBNegroLibreCargador25W,Samsung,GalaxyS23,,512,Black,Yes,158901
SamsungGalaxyA545G8128GBVioletaLibre,Samsung,GalaxyA54,8,128,Purple,Yes,45261
AppleiPhone14Plus256GBPRODUCTREDLibre,Apple,iPhone14,,256,Red,Yes,12890
XiaomiRedmi12C4128GBVerdeLibre,Xiaomi,Redmi12C,4,128,Green,Yes,1690
POCOM5s4128GBNegroLibre,POCO,M5s,4,128,Black,Yes,22998
Realme8i464GBNegroLibre,Realme,8I,4,64,Black,Yes,2016
Xiaomi12TPro8256GBAzulLibre,Xiaomi,12T,8,256,Blue,Yes,7816
NothingPhone18256GBNegroLibre,Nothing,Phone1,8,256,Black,Yes,4990
AppleiPhone14Pro512GBNegroEspacialLibre,Apple,iPhone14,,512,Black,Yes,17090
AppleiPhone14Pro256GBMoradoOscuroLibre,Apple,iPhone14,,256,Purple,Yes,14490
XiaomiRedmi124128GBAzulCieloLibre,Xiaomi,Redmi12,4,128,Blue,Yes,14495
AppleiPhone1264GBBlancoLibre,Apple,iPhone12,,64,White,Yes,8090
VivoY22s6128GBStarlitBlueLibre,Vivo,Y22s,6,128,Blue,Yes,22099
XiaomiRedmiNote12ProPlus5G8256GBNegroLibre,Xiaomi,RedmiNote12,8,256,Black,Yes,3899
SamsungGalaxyS23Ultra256GBNegroLibre,Samsung,GalaxyS23,,256,Black,Yes,154763
AppleiPhone14Plus128GBAzulLibre,Apple,iPhone14,,128,Blue,Yes,11590
SamsungGalaxyM235G4128GBOroRosaLibre,Samsung,GalaxyM23,4,128,Gold,Yes,2790
SamsungGalaxyA335G6128GBNegroLibre,Samsung,GalaxyA33,6,128,Black,Yes,3590
VivoY22s6128GBSummerCyanLibre,Vivo,Y22s,6,128,Turquoise,Yes,22099
Xiaomi13Lite8128GBNegroLibreCableUSBCaJack,Xiaomi,13,8,128,Black,Yes,49259
Alcatel1B2022232GBAzulLibre,Alcatel,1B2022,2,32,Blue,Yes,10099
AppleiPhone13128GBBlancoEstrellaLibre,Apple,iPhone13,,128,White,Yes,9090
SamsungGalaxyA345G6128GBPlataLibre,Samsung,GalaxyA34,6,128,Silver,Yes,3000
SamsungGalaxyA345G8256GBPlataLibreProtectorPantalla,Samsung,GalaxyA34,8,256,Silver,Yes,4690
VivoY358256GBStarlitBlueLibre,Vivo,Y35,8,256,Blue,Yes,26799
VivoX60Pro5G12256GBNegroLibre,Vivo,X60Pro,12,256,Black,Yes,7990
MotorolaEdge408256GBEclipseBlackLibre,Motorola,Edge40,8,256,Gold,Yes,49164
NothingPhone112256GBNegroLibre,Nothing,Phone1,12,256,Black,Yes,5490
SamsungGalaxyA345G8256GBVioletaLibreProtectorPantalla,Samsung,GalaxyA34,8,256,Purple,Yes,4690
ZTEBladeA52264GBAzulLibre,ZTE,BladeA52,2,64,Blue,Yes,1190
SamsungGalaxyA545G8256GBVioletaLibreProtectorPantalla,Samsung,GalaxyA54,8,256,Purple,Yes,5490
SamsungGalaxyS21FE5G20228256GBGrisLibreCargador,Samsung,GalaxyS21,8,256,Gray,Yes,6490
XiaomiRedmi10C4128GBGrisLibre,Xiaomi,Redmi10C,4,128,Gray,Yes,19999
SamsungGalaxyA545G8256GBVioletaLibre,Samsung,GalaxyA54,8,256,Purple,Yes,44995
XiaomiRedmi124128GBNegroMedianocheLibre,Xiaomi,Redmi12,4,128,Black,Yes,14495
SamsungGalaxyA545G8256GBBlancoLibreProtectorPantalla,Samsung,GalaxyA54,8,256,White,Yes,5490
OPPOA785G8128GBAzulLibreCableUSB31TypeC,OPPO,A78,8,128,Blue,Yes,2990
SamsungGalaxyS23Ultra512GBVerdeLibreCargador25W,Samsung,GalaxyS23,,512,Green,Yes,158901
XiaomiRedmiNote114128GBAzulOcasoLibre,Xiaomi,RedmiNote11,4,128,Blue,Yes,21999
SamsungGalaxyA345G6128GBVerdeLibreProtectorPantalla,Samsung,GalaxyA34,6,128,Green,Yes,3990
AppleiPhone14256GBAzulLibre,Apple,iPhone14,,256,Blue,Yes,11390
SamsungGalaxyA14464GBNegroLibreCarcasaCardSlot,Samsung,GalaxyA14,4,64,Black,Yes,1890
SamsungGalaxyA235G4128GBNegroLibre,Samsung,GalaxyA23,4,128,Black,Yes,23495
SamsungGalaxyA14464GBPlataLibreCarcasaCardSlot,Samsung,GalaxyA14,4,64,Silver,Yes,1890
VivoY358256GBDawnGoldLibre,Vivo,Y35,8,256,Gold,Yes,26799
Xiaomi125G8256GBAzulLibre,Xiaomi,12,8,256,Blue,Yes,102641
POCOX5Pro5G6128GBAmarilloLibre,POCO,X5Pro,6,128,Yellow,Yes,34999
AppleiPhone14Plus256GBMedianocheLibre,Apple,iPhone14,,256,Black,Yes,125901
AppleiPhone14Pro512GBPlataLibre,Apple,iPhone14,,512,Silver,Yes,17090
AppleiPhone14512GBPrpuraLibre,Apple,iPhone14,,512,Purple,Yes,13990
AppleiPhone1164GBBlancoLibre,Apple,iPhone11,,64,White,Yes,3630
SamsungGalaxyS23128GBNegroLibreCargador25W,Samsung,GalaxyS23,,128,Black,Yes,82901
SamsungGalaxyA545G8256GBNegroLibreProtectorPantalla,Samsung,GalaxyA54,8,256,Black,Yes,5490
AppleiPhone13128GBRosaLibre,Apple,iPhone13,,128,Pink,Yes,9090
VivoY765G8128GBCosmicAuroraLibre,Vivo,Y76,8,128,Blue,Yes,3060
VivoY765G8128GBMidnightSpaceLibre,Vivo,Y76,8,128,Black,Yes,3060
POCOM54128GBNegroLibre,POCO,M5,4,128,Black,Yes,20999
POCOC40332GBAmariloLibre,POCO,C40,3,32,Yellow,Yes,14999
RealmeNarzo504128GBAzulLibre,Realme,Narzo50,4,128,Blue,Yes,22259
AppleiPhone13256GBPRODUCTREDLibre,Apple,iPhone13,,256,Red,Yes,10290
Xiaomi12T8256GBNegroLibre,Xiaomi,12T,8,256,Black,Yes,77246
OPPOA785G8128GBNegroLibreCableUSB31TypeC,OPPO,A78,8,128,Black,Yes,2990
SamsungGalaxyA545G8256GBVerdeLibreProtectorPantalla,Samsung,GalaxyA54,8,256,Green,Yes,5490
AppleiPhone13128GBMedianocheLibre,Apple,iPhone13,,128,Black,Yes,9090
AppleiPhone12Pro256GBAzulPacficoLibre,Apple,iPhone12,,256,Blue,Yes,6690
POCOX5Pro5G6128GBAzulLibre,POCO,X5Pro,6,128,Blue,Yes,34999
SamsungGalaxyA545G8256GBNegroLibre,Samsung,GalaxyA54,8,256,Black,Yes,44995
AppleiPhone13128GBAzulLibre,Apple,iPhone13,,128,Blue,Yes,9090
XiaomiRedmiNote12Pro5G8128GBNegroLibre,Xiaomi,RedmiNote12,8,128,Black,Yes,28995
SamsungGalaxyA545G8128GBVerdeLibre,Samsung,GalaxyA54,8,128,Green,Yes,37995
OPPOA985G8256GBNegroLibre,OPPO,A98,8,256,Black,Yes,3866
XiaomiRedmiNote12464GBGrisLibre,Xiaomi,RedmiNote12,4,64,Gray,Yes,22999
Xiaomi125G8256GBGrisLibre,Xiaomi,12,8,256,Gray,Yes,5000
AppleiPhoneXR64GBNegroLibre,Apple,iPhoneXR,,64,Black,Yes,2690
AppleiPhone13256GBRosaLibre,Apple,iPhone13,,256,Pink,Yes,10290
ZTEBladeA52264GBGrisLibre,ZTE,BladeA52,2,64,Gray,Yes,1190
AppleiPhone14512GBAzulLibre,Apple,iPhone14,,512,Blue,Yes,13990
VivoY164128GBElegantBlackLibre,Vivo,Y16,4,128,Black,Yes,18299
SamsungGalaxyS225G256GBVerdeLibreCargador25W,Samsung,GalaxyS22,,256,Green,Yes,6990
VivoY164128GBDrizzlingGoldLibre,Vivo,Y16,4,128,Gold,Yes,1780
AppleiPhone12ProMax256GBPlataLibre,Apple,iPhone12,,256,Silver,Yes,7090
POCOX55G8256GBNegroLibre,POCO,X5,8,256,Black,Yes,34999
XiaomiRedmi1020224128GBGrisLibre,Xiaomi,Redmi10,4,128,Gray,Yes,29582
MotorolaRazr408256GBSageGreenLibre,Motorola,Razr40,8,256,Gold,Yes,89901
XiaomiRedmi9A232GBGrisGranitoLibre,Xiaomi,Redmi9A,2,32,Gray,Yes,11999
SamsungGalaxyA545G8128GBBlancoLibre,Samsung,GalaxyA54,8,128,White,Yes,37995
ZTEBladeA72364GBGrisLibre,ZTE,BladeA72,3,64,Gray,Yes,1490
XiaomiRedmiNote116128GBGrisGrafitoLibre,Xiaomi,RedmiNote11,6,128,Gray,Yes,20699
RealmeGT212256GBNegroLibre,Realme,GT2,12,256,Black,Yes,6016
SamsungGalaxyS23256GBAlgodnLibre,Samsung,GalaxyS23,,256,White,Yes,81994
SamsungGalaxyS23Ultra256GBAlgodnLibre,Samsung,GalaxyS23,,256,White,Yes,10520
OnePlusNordCE3Lite5G8128GBLimaPastelLibre,OnePlus,NordCE3,8,128,Green,Yes,2590
SamsungGalaxyS23Ultra512GBNegroLibre,Samsung,GalaxyS23,,512,Black,Yes,11770
SamsungGalaxyS23Ultra512GBAlgodnLibreCargador25W,Samsung,GalaxyS23,,512,White,Yes,158901
SamsungGalaxyA14464GBVerdeLibreCarcasaCardSlot,Samsung,GalaxyA14,4,64,Green,Yes,1890
AppleiPhone14256GBMedianocheLibre,Apple,iPhone14,,256,Black,Yes,11390
OPPOA57s4128GBAzulLibre,OPPO,A57s,4,128,Blue,Yes,15895
TCL20R5G464GBAzulLazuritaLibre,TCL,20R,4,64,Blue,Yes,14328
OPPOA985G8256GBAzulLibre,OPPO,A98,8,256,Blue,Yes,4016
AppleiPhone14Plus512GBAzulLibre,Apple,iPhone14,,512,Blue,Yes,15490
XiaomiRedmiNote12Pro6128GBAzulGlaciarLibre,Xiaomi,RedmiNote12,6,128,Blue,Yes,22995
OPPOFindX5Lite5G8256GBNegroLibre,OPPO,X5,8,256,Black,Yes,3050
Xiaomi13Lite8256GBNegroLibre,Xiaomi,13,8,256,Black,Yes,4300
SamsungGalaxyZFlip48256GBGrisCargadordePared25W,Samsung,GalaxyZFlip4,8,256,Gray,No,11590
CATS42H332GBRugerizadoNegroLibre,CAT,S42H,3,32,Black,Yes,18999
AppleiPhone14256GBBlancoEstrellaLibre,Apple,iPhone14,,256,White,Yes,11390
SamsungGalaxyA535G6128GBNegroLibre,Samsung,GalaxyA53,6,128,Black,Yes,3990
MotorolaEdge408256GBNebulaGreenLibre,Motorola,Edge40,8,256,Gold,Yes,49164
POCOX55G6128GBNegroLibre,POCO,X5,6,128,Black,Yes,29999
NothingPhone112256GBBlancoLibre,Nothing,Phone1,12,256,White,Yes,5490
VivoY765G8256GBMidnightSpaceLibre,Vivo,Y76,8,256,Black,Yes,3090
VivoV215G8128GBDuskBlueLibre,Vivo,V215G,8,128,Blue,Yes,29048
POCOM5464GBNegroLibre,POCO,M5,4,64,Black,Yes,18999
SamsungGalaxyS23256GBNegroLibre,Samsung,GalaxyS23,,256,Black,Yes,117282
SamsungGalaxyS23Plus512GBAlgodnLibre,Samsung,GalaxyS23,,512,White,Yes,113846
VivoV215G8128GBSunsetDazzleLibre,Vivo,V215G,8,128,Yellow,Yes,29048
XiaomiRedmiNote12S8256GBVerdePerladoLibre,Xiaomi,Note12S,8,256,Green,Yes,24979
VivoY765G8256GBCosmicAuroraLibre,Vivo,Y76,8,256,Blue,Yes,3090
XiaomiRedmiNote12S8256GBAzulHieloLibre,Xiaomi,Note12S,8,256,Blue,Yes,23495
AppleiPhone14Pro512GBOroLibre,Apple,iPhone14,,512,Gold,Yes,17090
Xiaomi138256GBNegroLibre,Xiaomi,13,8,256,Black,Yes,108497
AppleiPhone14Plus128GBPRODUCTREDLibre,Apple,iPhone14,,128,Red,Yes,11590
AppleiPhone1164GBNegroLibre,Apple,iPhone11,,64,Black,Yes,7352
SPCSmartUltimate332GBNegroLibre,SPC,SmartUltimate,3,32,Black,Yes,10995
POCOX5Pro5G8256GBNegroLibre,POCO,X5Pro,8,256,Black,Yes,39999
SamsungGalaxyS23128GBLilaLibreCargador25W,Samsung,GalaxyS23,,128,Purple,Yes,82901
MotorolaEdge40Pro12256GBInterstellarBlackLibre,Motorola,Edge40,12,256,Gold,Yes,8590
SamsungGalaxyS23Ultra256GBVerdeLibreCargador25W,Samsung,GalaxyS23,,256,Green,Yes,14090
OnePlusNordCE2Lite5G6128GBNegroLibre,OnePlus,NordCE2,6,128,Black,Yes,36171
CubotKingKongPower8256GBNegroLibre,Cubot,KingKongPower,8,256,Black,Yes,22995
XiaomiRedmi12C4128GBAzulLibreCableUSBCaJack,Xiaomi,Redmi12C,4,128,Blue,Yes,1990
XiaomiRedmi9CNFC364GBGrisLibre,Xiaomi,Redmi9C,3,64,Gray,Yes,10114
OPPOReno105G8256GBAzulLibre,OPPO,Reno10,8,256,Blue,Yes,4990
SamsungGalaxyA345G6128GBVioletaLibreProtectorPantalla,Samsung,GalaxyA34,6,128,Purple,Yes,3990
SamsungGalaxyM134128GBVerdeLibre,Samsung,GalaxyM13,4,128,Green,Yes,2090
SamsungGalaxyA144128GBNegroLibre,Samsung,GalaxyA14,4,128,Black,Yes,1770
AppleiPhone864GBGrisEspacialLibre,Apple,iPhone8,,64,Gray,Yes,1440
OPPOReno8Lite5G8128GBRainbowLibre,OPPO,Reno8,8,128,Rainbow,Yes,3090
TCL408464GBGrisLibre,TCL,408,4,64,Gray,Yes,15099
SamsungGalaxyA14464GBNegroLibre,Samsung,GalaxyA14,4,64,Black,Yes,15601
XiaomiRedmi12C4128GBVerdeLibreCableUSBCaJack,Xiaomi,Redmi12C,4,128,Green,Yes,1990
SamsungGalaxyA345G6128GBNegroLibreProtectorPantalla,Samsung,GalaxyA34,6,128,Black,Yes,3990
TCL40SE6256GBPrpuraLibre,TCL,40SE,6,256,Purple,Yes,20099
AppleiPhone12Pro128GBAzulPacficoLibre,Apple,iPhone12,,128,Blue,Yes,6350
TCL403232GBMauveMistLibre,TCL,403,2,32,Purple,Yes,927
AppleiPhone14256GBPRODUCTREDLibre,Apple,iPhone14,,256,Red,Yes,111901
OPPOReno105G8256GBGrisLibre,OPPO,Reno10,8,256,Gray,Yes,4990
SamsungGalaxyA144128GBNegroLibreCarcasaCardSlot,Samsung,GalaxyA14,4,128,Black,Yes,2090
SamsungGalaxyS23Plus512GBVerdeLibre,Samsung,GalaxyS23,,512,Green,Yes,112689
XiaomiRedmiNote12S6128GBNegronixLibre,Xiaomi,Note12S,6,128,Black,Yes,2090
AppleiPhoneXS64GbGrisEspacialLibre,Apple,iPhoneXS,,64,Gray,Yes,2690
AppleiPhone12128GBBlancoLibre,Apple,iPhone12,,128,White,Yes,8590
SamsungGalaxyA345G6128GBPlataLibreProtectorPantalla,Samsung,GalaxyA34,6,128,Silver,Yes,3990
AppleiPhone14Plus128GBPrpuraLibre,Apple,iPhone14,,128,Purple,Yes,11590
SamsungGalaxyS22Ultra5G12256GBBlancoLibre,Samsung,GalaxyS22,12,256,White,Yes,9540
AppleiPhone13256GBBlancoEstrellaLibre,Apple,iPhone13,,256,White,Yes,102901
XiaomiRedmiNote12Pro6128GBGrisGrafitoLibre,Xiaomi,RedmiNote12,6,128,Gray,Yes,22995
